n_elements;ins_ms;merge_ms
20000;59;3;2
40000;206;4;2
60000;489;5;3
80000;854;7;4
100000;1305;9;5
120000;1907;11;6
140000;2589;14;7
160000;3393;15;14
180000;4336;16;10
200000;5609;19;10
220000;6791;22;21
240000;7974;24;14
260000;8966;24;15
280000;10421;27;17
300000;12049;28;17
300000;12043;28;18
400000;-1;40;24
500000;-1;50;31
600000;-1;61;39
700000;-1;71;44
800000;-1;83;51
900000;-1;94;58
1000000;-1;105;65
1100000;-1;117;81
1200000;-1;126;80
1300000;-1;137;95
1400000;-1;151;94
1500000;-1;176;120
1600000;-1;186;116
1700000;-1;187;116
1800000;-1;196;124
1900000;-1;209;133
2000000;-1;220;138
2100000;-1;234;147
2200000;-1;247;153
2300000;-1;256;162
2400000;-1;268;168
2500000;-1;279;178
2600000;-1;291;184
2700000;-1;304;190
2800000;-1;323;202
2900000;-1;325;210
3000000;-1;338;215
3000000;-1;337;210
3500000;-1;405;255
4000000;-1;462;291
4500000;-1;524;334
5000000;-1;582;365
5500000;-1;643;402
6000000;-1;707;452
6500000;-1;767;483
7000000;-1;831;523
7500000;-1;887;556
8000000;-1;954;606
8500000;-1;1036;642
9000000;-1;1077;682
9500000;-1;1128;715
10000000;-1;1195;773
